client_id,subscribe
2986,0.02
29710,0
38938,0.22
31313,0.04
24173,0.04
14426,0.86
40159,0.06
12301,0.02
9640,0.06
19742,0.72
5967,0.04
25559,0.06
34976,0.04
38126,0.16
17369,0
40632,0
37544,0.02
11284,0
36717,0.02
14536,0.02
26503,0.04
22763,0
32953,0.1
413,0.32
10762,0
14745,0.06
25946,0.26
14804,0.28
6790,0
30453,0.02
27455,0.34
29826,0.02
13689,0
13795,0.18
1835,0.6
41043,0.1
10563,0.56
38265,0.06
10848,0
41155,0
22925,0
28583,0
29133,0.06
7588,0.06
5242,0.64
11667,0.04
22369,0.16
5409,0.04
25931,0.16
19851,0.06
17993,0.4
6007,0.04
38467,0.54
27753,0.32
32117,0.16
38191,0.06
3984,0
22119,0
6333,0.06
2894,0.02
23883,0.02
27380,0
25244,0
4913,0.06
13238,0.02
36086,0.22
11187,0.02
16635,0.1
38210,0.02
6312,0.06
24671,0.06
34134,0.18
40160,0.54
20698,0.02
79,0.04
4518,0.1
9448,0
1230,0
3080,0.04
31315,0.02
4972,0.06
3509,0
17220,0.1
28577,0.3
2777,0.04
30712,0
17749,0.02
11126,0.82
2748,0.62
13376,0.02
39084,0.08
32128,0
19927,0.16
10216,0
27913,0
9174,0
7657,0.16
7132,0
38920,0.18
22344,0.36
20878,0
29851,0.14
36385,0.04
8539,0.02
36671,0.02
24243,0.04
8905,0
1963,0
23294,0.1
8482,0
13102,0.06
16011,0.1
3804,0
24378,0.32
26034,0.06
38947,0
33285,0.04
14816,0.06
28852,0.12
2761,0
37853,0.12
40302,0
4297,0.02
8946,0.12
6529,0.06
7053,0
20995,0
40459,0.44
11166,0.32
39155,0.98
1627,0.04
31167,0.02
28613,0.32
38376,0.06
11735,0.04
12053,0
40133,0.46
12336,0
30541,0.12
32580,0.1
28535,0.06
25008,0.04
41164,0.04
32661,0.02
25948,0.3
7348,0.02
28676,0
36480,0.02
39116,0.18
27525,0
887,0.02
28360,0.04
914,0.04
16385,0.08
15198,0.08
31218,0
5799,0
25932,0.14
20474,0.08
10943,0.14
38854,0.02
11688,0.08
8181,0.46
30774,0.04
22642,0.04
15017,0.02
12248,0.44
18671,0
39113,0.04
5459,0.08
40332,0.1
4176,0
33598,0.02
24730,0.02
12921,0.04
39404,0
384,0
24163,0.54
1191,0.02
30006,0.04
16707,0.14
30933,0.02
40197,0.04
33442,0.58
39150,0
29444,0.06
303,0.02
31566,0.08
1003,0.56
15390,0.12
4676,0.14
21973,0.02
14632,0.18
9008,0
16090,0
40269,0.74
5392,0
24790,0
18937,0
16886,0
31072,0.04
16021,0
23569,0.04
30092,0.06
9046,0.2
29573,0.04
29397,0.02
14539,0
15886,0.7
12893,0
13092,0.04
31389,0.06
41003,0.04
10666,0.14
17674,0.02
25855,0.12
20665,0.28
1762,0.02
18420,0.06
14303,0.08
9813,0
3271,0.02
10557,0
26367,0.34
29417,0.06
30526,0.04
11276,0
8412,0.04
18535,0.06
21542,0.06
30549,0.38
16087,0.02
35716,0.02
27644,0.02
328,0.02
15127,0.02
13835,0.02
4798,0.02
10247,0.02
4809,0.04
30856,0
16225,0.02
528,0.02
24743,0.02
663,0.04
20475,0.06
793,0
41098,0.02
22232,0.36
25036,0.04
32489,0.02
34867,0.04
16007,0.74
3632,0.4
29532,0.08
39728,0.02
13054,0.02
22253,0.02
40988,0.02
38557,0.08
32411,0.56
20316,0.42
40964,0.64
17670,0
21634,0.06
32798,0.02
27056,0.06
36904,0
5081,0.04
9386,0
37023,0
10355,0.12
10870,0.02
6440,0
17089,0.18
4738,0.44
11683,0.2
35532,0.04
29127,0.26
23053,0.06
38288,0.2
22510,0.3
10956,0.04
11978,0.04
7748,0
24581,0.4
27049,0.18
4288,0
613,0.26
30504,0
39739,0.02
25356,0
14130,0.04
36997,0.62
26602,0
17161,0
26557,0.56
13596,0.02
11181,0.06
5291,0.1
18575,0
24008,0.08
5251,0.06
28283,0.28
12285,0.02
5087,0.02
29587,0.02
1936,0
18559,0.08
8980,0.04
4399,0.04
27818,0
9940,0.06
21650,0.22
13800,0
5456,0
7432,0.12
3527,0.04
28362,0.06
15786,0.02
8314,0.04
37223,0.12
22340,0.02
27772,0
21811,0.18
40404,0
8062,0.1
14964,0
41160,0
2539,0.02
1055,0.02
22262,0.1
34250,0
35546,0.98
21846,0.16
22781,0.12
34845,0.06
316,0
33190,0.04
18669,0.04
22345,0
19935,0
18585,0.08
9546,0
39794,0.1
27695,0.04
6531,0.6
40360,0
6431,0.02
1004,0.08
39077,0
29649,0.04
8259,0.06
31978,0
30398,0.4
11496,0.06
12716,0.02
16766,0.36
36871,0.02
9248,0
37983,0.08
25641,0.04
16151,0
23979,0.06
16444,0
10865,0.02
23947,0.16
4427,0.06
26921,0.12
37389,0.02
854,0.02
3831,0.08
28509,0.64
35421,0.12
1158,0.04
29049,0.02
18217,0.02
5932,0.02
25788,0
31410,0.04
37807,0
19126,0.02
23631,0.04
12976,0.1
31805,0.02
21512,0
7354,0.22
27649,0.44
9901,0
10610,0.16
21502,0.06
17458,0.1
33439,0
10358,0.28
1746,0.7
20497,0.06
5103,0.02
287,0.08
18818,0.12
8313,0.06
2963,0.08
3214,0.58
7902,0
40215,0
23797,0.62
38791,0.04
33495,0.06
31519,0.16
41163,0.08
